Make,Model,Type,Origin,MSRP,Invoice,MPG_City,MPG_Highway
Pontiac,Montana,Sedan,USA,23845.0,21644.0,19.0,26.0
Pontiac,Montana EWB,Sedan,USA,31370.0,28454.0,18.0,24.0
Pontiac,GTO 2dr,Sports,USA,33500.0,30710.0,16.0,20.0
Pontiac,Vibe,Wagon,USA,17045.0,15973.0,29.0,36.0
Porsche,Cayenne S,SUV,Europe,56665.0,49865.0,14.0,18.0
Porsche,911 Carrera convertible 2dr (coupe),Sports,Europe,79165.0,69229.0,18.0,26.0
Porsche,911 Carrera 4S coupe 2dr (convert),Sports,Europe,84165.0,72206.0,17.0,24.0
Porsche,911 Targa coupe 2dr,Sports,Europe,76765.0,67128.0,18.0,26.0
Porsche,911 GT2 2dr,Sports,Europe,192465.0,173560.0,17.0,24.0
Porsche,Boxster convertible 2dr,Sports,Europe,43365.0,37886.0,20.0,29.0
Porsche,Boxster S convertible 2dr,Sports,Europe,52365.0,45766.0,18.0,26.0
Saab,9-3 Arc Sport 4dr,Sedan,Europe,30860.0,29269.0,20.0,28.0
Saab,9-3 Aero 4dr,Sedan,Europe,33360.0,31562.0,20.0,28.0
Saab,9-5 Arc 4dr,Sedan,Europe,35105.0,33011.0,21.0,29.0
Saab,9-5 Aero 4dr,Sedan,Europe,39465.0,37721.0,21.0,29.0
Saab,9-3 Arc convertible 2dr,Sedan,Europe,40670.0,38520.0,21.0,29.0
Saab,9-3 Aero convertible 2dr,Sedan,Europe,43175.0,40883.0,21.0,30.0
Saab,9-5 Aero,Wagon,Europe,40845.0,38376.0,19.0,29.0
Saturn,VUE,SUV,USA,20585.0,19238.0,21.0,26.0
Saturn,Ion1 4dr,Sedan,USA,10995.0,10319.0,26.0,35.0
Saturn,lon2 4dr,Sedan,USA,14300.0,13393.0,26.0,35.0
Saturn,lon3 4dr,Sedan,USA,15825.0,14811.0,26.0,35.0
Saturn,lon2 quad coupe 2dr,Sedan,USA,14850.0,13904.0,26.0,35.0
Saturn,lon3 quad coupe 2dr,Sedan,USA,16350.0,15299.0,26.0,35.0
Saturn,L300-2 4dr,Sedan,USA,21410.0,19801.0,20.0,28.0
Saturn,L300 2,Wagon,USA,23560.0,21779.0,24.0,34.0
Scion,xA 4dr hatch,Sedan,Asia,12965.0,12340.0,32.0,38.0
Scion,xB,Wagon,Asia,14165.0,13480.0,31.0,35.0
Subaru,Impreza 2.5 RS 4dr,Sedan,Asia,19945.0,18399.0,22.0,28.0
Subaru,Legacy L 4dr,Sedan,Asia,20445.0,18713.0,21.0,28.0
Subaru,Legacy GT 4dr,Sedan,Asia,25645.0,23336.0,21.0,28.0
Subaru,Outback Limited Sedan 4dr,Sedan,Asia,27145.0,24687.0,20.0,27.0
Subaru,Outback H6 4dr,Sedan,Asia,29345.0,26660.0,19.0,26.0
Subaru,Outback H-6 VDC 4dr,Sedan,Asia,31545.0,28603.0,19.0,26.0
Subaru,Impreza WRX 4dr,Sports,Asia,25045.0,23022.0,20.0,27.0
Subaru,Impreza WRX STi 4dr,Sports,Asia,31545.0,29130.0,18.0,24.0
Subaru,Baja,Truck,Asia,24520.0,22304.0,21.0,28.0
Subaru,Forester X,Wagon,Asia,21445.0,19646.0,21.0,28.0
Subaru,Outback,Wagon,Asia,23895.0,21773.0,21.0,28.0
Suzuki,XL-7 EX,SUV,Asia,23699.0,22307.0,18.0,22.0
Suzuki,Vitara LX,SUV,Asia,17163.0,16949.0,19.0,22.0
Suzuki,Aeno S 4dr,Sedan,Asia,12884.0,12719.0,25.0,31.0
Suzuki,Aerio LX 4dr,Sedan,Asia,14500.0,14317.0,25.0,31.0
Suzuki,Forenza S 4dr,Sedan,Asia,12269.0,12116.0,24.0,31.0
Suzuki,Forenza EX 4dr,Sedan,Asia,15568.0,15378.0,22.0,30.0
Suzuki,Verona LX 4dr,Sedan,Asia,17262.0,17053.0,20.0,27.0
Suzuki,Aerio SX,Wagon,Asia,16497.0,16291.0,24.0,29.0
Toyota,Prius 4dr (gas/electric),Hybrid,Asia,20510.0,18926.0,59.0,51.0
Toyota,Sequoia SR5,SUV,Asia,35695.0,31827.0,14.0,17.0
Toyota,4Runner SR5 V6,SUV,Asia,27710.0,24801.0,18.0,21.0
Toyota,Highlander V6,SUV,Asia,27930.0,24915.0,18.0,24.0
Toyota,Land Cruiser,SUV,Asia,54765.0,47986.0,13.0,17.0
Toyota,RAV4,SUV,Asia,20290.0,18553.0,22.0,27.0
Toyota,Corolla CE 4dr,Sedan,Asia,14085.0,13065.0,32.0,40.0
Toyota,Corolla S 4dr,Sedan,Asia,15030.0,13650.0,32.0,40.0
Toyota,Corolla LE 4dr,Sedan,Asia,15295.0,13889.0,32.0,40.0
Toyota,Echo 2dr manual,Sedan,Asia,10760.0,10144.0,35.0,43.0
Toyota,Echo 2dr auto,Sedan,Asia,11560.0,10896.0,33.0,39.0
Toyota,Echo 4dr,Sedan,Asia,11290.0,10642.0,35.0,43.0
Toyota,Camry LE 4dr,Sedan,Asia,19560.0,17558.0,24.0,33.0
Toyota,Camry LE V6 4dr,Sedan,Asia,22775.0,20325.0,21.0,29.0
Toyota,Camry Solara SE 2dr,Sedan,Asia,19635.0,17722.0,24.0,33.0
Toyota,Camry Solara SE V6 2dr,Sedan,Asia,21965.0,19819.0,20.0,29.0
Toyota,Avalon XL 4dr,Sedan,Asia,26560.0,23693.0,21.0,29.0
Toyota,Camry XLE V6 4dr,Sedan,Asia,25920.0,23125.0,21.0,29.0
Toyota,Camry Solara SLE V6 2dr,Sedan,Asia,26510.0,23908.0,20.0,29.0
Toyota,Avalon XLS 4dr,Sedan,Asia,30920.0,27271.0,21.0,29.0
Toyota,Sienna CE,Sedan,Asia,23495.0,21198.0,19.0,27.0
Toyota,Sienna XLE Limited,Sedan,Asia,28800.0,25690.0,19.0,27.0
Toyota,Celica GT-S 2dr,Sports,Asia,22570.0,20363.0,24.0,33.0
Toyota,MR2 Spyder convertible 2dr,Sports,Asia,25130.0,22787.0,26.0,32.0
Toyota,Tacoma,Truck,Asia,12800.0,11879.0,22.0,27.0
Toyota,Tundra Regular Cab V6,Truck,Asia,16495.0,14978.0,16.0,18.0
Toyota,Tundra Access Cab V6 SR5,Truck,Asia,25935.0,23520.0,14.0,17.0
Toyota,Matrix XR,Wagon,Asia,16695.0,15156.0,29.0,36.0
Volkswagen,Touareg V6,SUV,Europe,35515.0,32243.0,15.0,20.0
Volkswagen,Golf GLS 4dr,Sedan,Europe,18715.0,17478.0,24.0,31.0
Volkswagen,GTI 1.8T 2dr hatch,Sedan,Europe,19825.0,18109.0,24.0,31.0
Volkswagen,Jetta GLS TDI 4dr,Sedan,Europe,21055.0,19638.0,38.0,46.0
Volkswagen,New Beetle GLS 1.8T 2dr,Sedan,Europe,21055.0,19638.0,24.0,31.0
Volkswagen,Jetta GLI VR6 4dr,Sedan,Europe,23785.0,21686.0,21.0,30.0
Volkswagen,New Beetle GLS convertible 2dr,Sedan,Europe,23215.0,21689.0,24.0,30.0
Volkswagen,Passat GLS 4dr,Sedan,Europe,23955.0,21898.0,22.0,31.0
Volkswagen,Passat GLX V6 4MOTION 4dr,Sedan,Europe,33180.0,30583.0,19.0,26.0
Volkswagen,Passat W8 4MOTION 4dr,Sedan,Europe,39235.0,36052.0,18.0,25.0
Volkswagen,Phaeton 4dr,Sedan,Europe,65000.0,59912.0,16.0,22.0
Volkswagen,Phaeton W12 4dr,Sedan,Europe,75000.0,69130.0,12.0,19.0
Volkswagen,Jetta GL,Wagon,Europe,19005.0,17427.0,24.0,30.0
Volkswagen,Passat GLS 1.8T,Wagon,Europe,24955.0,22801.0,22.0,31.0
Volkswagen,Passat W8,Wagon,Europe,40235.0,36956.0,18.0,25.0
Volvo,XC90 T6,SUV,Europe,41250.0,38851.0,15.0,20.0
Volvo,S40 4dr,Sedan,Europe,25135.0,23701.0,22.0,29.0
Volvo,S60 2.5 4dr,Sedan,Europe,31745.0,29916.0,20.0,27.0
Volvo,S60 T5 4dr,Sedan,Europe,34845.0,32902.0,20.0,28.0
Volvo,S60 R 4dr,Sedan,Europe,37560.0,35382.0,18.0,25.0
Volvo,S80 2.9 4dr,Sedan,Europe,37730.0,35542.0,20.0,28.0
Volvo,S80 2.5T 4dr,Sedan,Europe,37885.0,35688.0,20.0,27.0
Volvo,C70 LPT convertible 2dr,Sedan,Europe,40565.0,38203.0,21.0,28.0
Volvo,C70 HPT convertible 2dr,Sedan,Europe,42565.0,40083.0,20.0,26.0
Volvo,S80 T6 4dr,Sedan,Europe,45210.0,42573.0,19.0,26.0
Volvo,V40,Wagon,Europe,26135.0,24641.0,22.0,29.0
Volvo,XC70,Wagon,Europe,35145.0,33112.0,20.0,27.0
